id,question,solution_a,total_runtime_a,avg_memory_a,solution_b,total_runtime_b,avg_memory_b,solution_c,total_runtime_c,avg_memory_c,order
60,"
def shift_vowels_cyclically(s):
""""""
Given a string `s`, shift all vowels cyclically to the right by one position
relative to the sequence of vowels, while keeping non-vowel characters in
their original indices. Vowels are defined as 'a', 'e', 'i', 'o', 'u'
(case-insensitive).

Examples:
shift_vowels_cyclically(""apple"") == ""eppla""
shift_vowels_cyclically(""hello world"") == ""holle world""
shift_vowels_cyclically("" "") == "" ""
shift_vowels_cyclically(""AEIOU"") == ""UAEIO""
""""""
","def shift_vowels_cyclically(s):
    vowels = 'aeiouAEIOU'
    vowel_chars = [c for c in s if c in vowels]
    if len(vowel_chars) <= 1:
        return s
    shifted = [vowel_chars[-1]] + vowel_chars[:-1]
    result = []
    vi = 0
    for c in s:
        if c in vowels:
            result.append(shifted[vi])
            vi += 1
        else:
            result.append(c)
    return ''.join(result)",0.000479,25.99648438,"def shift_vowels_cyclically(s):
    vowels = ""aeiouAEIOU""
    v_chars = [c for c in s if c in vowels]
    if not v_chars:
        return s
    carry = v_chars[-1]
    res = []
    for char in s:
        if char in vowels:
            res.append(carry)
            carry = char
        else:
            res.append(char)
    return """".join(res)",0.0003939,25.99648438,"def shift_vowels_cyclically(s):
    import re
    vchars = [c for c in s if c in 'aeiouAEIOU']
    if not vchars:
        return s
    rotated = [vchars[-1]] + vchars[:-1]
    cnt = [0]
    def repl(match):
        i = cnt[0]
        cnt[0] += 1
        return rotated[i]
    return re.sub(r'[aeiouAEIOU]', repl, s)
",0.0008163,25.99648438,"['b', 'a', 'c']"
61,"
from typing import List

def match_index_parity(numbers: List[int]) -> List[int]:
""""""
Return a new list containing only the elements from the input list `numbers`
where the parity (evenness/oddness) of the element matches the parity of its index.

>>> match_index_parity([2, 1, 4, 3])
[2, 1, 4, 3]
>>> match_index_parity([1, 2, 3, 4])
[]
>>> match_index_parity([0, 2, 4, 6])
[0, 4]
>>> match_index_parity([10, 3, 5, 2])
[10, 3]
""""""
","from typing import List

def match_index_parity(numbers: List[int]) -> List[int]:
    return [n for i, n in enumerate(numbers) if i % 2 == n % 2]",0.0004315,26.42890625,"from typing import List

def match_index_parity(numbers: List[int]) -> List[int]:
    result = []
    index_is_even = True
    for val in numbers:
        num_is_even = val % 2 == 0
        if num_is_even == index_is_even:
            result.append(val)
        index_is_even = not index_is_even
    return result",0.0005026,26.42890625,"def match_index_parity(numbers: List[int]) -> List[int]:
    res = []
    for i, n in enumerate(numbers):
        if ((i ^ n) & 1) == 0:
            res.append(n)
    return res",0,0,"['a', 'b', 'c']"
62,"
def filter_divisible_by_digit_sum(numbers: list[int]) -> list[int]:
""""""
Filter the input list of positive integers to include only numbers that are
divisible by the sum of their own digits.

The resulting list should be sorted primarily by the sum of the digits in
ascending order. If two numbers have the same digit sum, sort them by their
original value in descending order.

examples:
filter_divisible_by_digit_sum([12, 13, 20, 45, 10])
# Returns [10, 20, 12, 45]
# Explanation:
# 10 (sum 1, 10%1==0), 20 (sum 2, 20%2==0), 12 (sum 3, 12%3==0), 45 (sum 9, 45%9==0). 13 is excluded.
# Sorted by sum: 10(1), 20(2), 12(3), 45(9).

filter_divisible_by_digit_sum([21, 12, 111])
# Returns [111, 21, 12]
# Explanation:
# 21 (sum 3, divisible), 12 (sum 3, divisible), 111 (sum 3, divisible).
# All have sum 3. Tie-break by value descending: 111, 21, 12.

filter_divisible_by_digit_sum([7, 23, 100])
# Returns [100, 7]
""""""
","def filter_divisible_by_digit_sum(numbers: list[int]) -> list[int]:
    def digit_sum(n):
        return sum(int(d) for d in str(n))
    filtered = [(n, digit_sum(n)) for n in numbers if n % digit_sum(n) == 0]
    filtered.sort(key=lambda x: (x[1], -x[0]))
    return [n for n, _ in filtered]",0.0018813,92.99492188,"def filter_divisible_by_digit_sum(numbers: list[int]) -> list[int]:
    groups = {}
    for val in numbers:
        d_sum = 0
        for digit in str(val):
            d_sum += int(digit)
        if val % d_sum == 0:
            if d_sum not in groups:
                groups[d_sum] = []
            groups[d_sum].append(val)
    result = []
    for s in sorted(groups):
        batch = groups[s]
        batch.sort(reverse=True)
        result.extend(batch)
    return result",0.0006008,26.56679688,"def filter_divisible_by_digit_sum(numbers: list[int]) -> list[int]:
    def digit_sum(n: int) -> int:
        s = 0
        x = n
        while x:
            s += x % 10
            x //= 10
        return s

    candidates: list[tuple[int, int]] = []
    for n in numbers:
        s = digit_sum(n)
        if s > 0 and n % s == 0:
            candidates.append((n, s))

    candidates.sort(key=lambda t: (t[1], -t[0]))
    return [n for n, _ in candidates]",0.0004809,26.56679688,"['c', 'b', 'a']"
63,"
from typing import List

def filter_alternating(words: List[str]) -> List[str]:
""""""
Given a list of strings, return a new list containing only the strings where the
characters strictly alternate between vowels ('a', 'e', 'i', 'o', 'u') and
consonants. The alternation can start with either type.
Checks are case-insensitive, but original casing must be preserved.
Single character strings and empty strings are considered valid.

filter_alternating([""banana"", ""apple"", ""Ace""]) == [""banana"", ""Ace""]
filter_alternating([""Cat"", ""Dog"", ""Egg""]) == [""Cat"", ""Dog""]
filter_alternating([""aa"", ""bb"", ""a"", ""b""]) == [""a"", ""b""]
filter_alternating([]) == []
""""""
pass
","from typing import List

def filter_alternating(words: List[str]) -> List[str]:
    vowels = set('aeiouAEIOU')
    def is_alternating(word):
        if len(word) <= 1:
            return True
        for i in range(len(word) - 1):
            c1_vowel = word[i] in vowels
            c2_vowel = word[i+1] in vowels
            if c1_vowel == c2_vowel:
                return False
        return True
    return [w for w in words if is_alternating(w)]",0.0005907,27.20898438,"from typing import List

def filter_alternating(words: List[str]) -> List[str]:
    vowels = set('aeiouAEIOU')
    result = []
    for word in words:
        evens = word[::2]
        odds = word[1::2]
        evens_v = all(c in vowels for c in evens)
        evens_c = all(c not in vowels for c in evens)
        odds_v = all(c in vowels for c in odds)
        odds_c = all(c not in vowels for c in odds)
        if (evens_v and odds_c) or (evens_c and odds_v):
            result.append(word)
    return result",0.0007555,27.20898438,"def filter_alternating(words: List[str]) -> List[str]:
    import re
    pat_v = re.compile(r'^(?:[aeiouAEIOU](?:[^aeiouAEIOU][aeiouAEIOU])*)$')
    pat_c = re.compile(r'^(?:[^aeiouAEIOU](?:[aeiouAEIOU][^aeiouAEIOU])*)$')
    res = []
    for w in words:
        if w == """":
            res.append(w)
        elif pat_v.match(w) or pat_c.match(w):
            res.append(w)
    return res",0,0,"['a', 'b', 'c']"
64,"
def find_dominant_prefix(numbers: list) -> int:
""""""
Given a list of numbers, return the first index 'i' (where 0 <= i < len(numbers) - 1)
such that the average of the sequence up to and including 'i' is strictly
greater than the average of the remaining elements following 'i'.

Return -1 if the list contains fewer than 2 elements or if no such index exists.

Examples:
find_dominant_prefix([5, 1, 1, 1]) == 0 # Avg([5])=5.0 > Avg([1,1,1])=1.0
find_dominant_prefix([1, 2, 3, 4]) == -1 # No split satisfies the condition.
find_dominant_prefix([3, 3, 10, 2]) == 2 # Avg([3,3,10])=5.33... > Avg([2])=2.0
find_dominant_prefix([1.0, 0.5]) == 0 # Avg([1.0])=1.0 > Avg([0.5])=0.5
""""""
","def find_dominant_prefix(numbers: list) -> int:
    if len(numbers) < 2:
        return -1
    total = sum(numbers)
    prefix_sum = 0
    for i in range(len(numbers) - 1):
        prefix_sum += numbers[i]
        suffix_sum = total - prefix_sum
        prefix_avg = prefix_sum / (i + 1)
        suffix_avg = suffix_sum / (len(numbers) - i - 1)
        if prefix_avg > suffix_avg:
            return i
    return -1",0.0004588,26.45449219,"def find_dominant_prefix(numbers: list) -> int:
    if len(numbers) < 2:
        return -1
    avg_all = sum(numbers) / len(numbers)
    current_total = 0
    for i in range(len(numbers) - 1):
        current_total += numbers[i]
        if current_total / (i + 1) > avg_all:
            return i
    return -1",0.0004625,26.44980469,"def find_dominant_prefix(numbers: list) -> int:
    """"""
    Given a list of numbers, return the first index i such that the average of the
    prefix up to i is strictly greater than the average of the remaining elements.
    """"""
    n = len(numbers)
    if n < 2:
        return -1
    total = sum(numbers)
    prefix = 0
    for i in range(n - 1):
        prefix += numbers[i]
        if prefix * n > total * (i + 1):
            return i
    return -1",0.000553,26.44980469,"['a', 'b', 'c']"
65,"
def flip_even_count_chars(s: str) -> str:
""""""
Given a string s, return a new string where every character that appears
an even number of times in the original string has its case swapped
(lower to upper, upper to lower). Characters appearing an odd number
of times remain unchanged.

Note: Frequency counting is case-sensitive (e.g., 'a' and 'A' are distinct).

Examples:
flip_even_count_chars(""aaBBc"") == ""AAbbc""
flip_even_count_chars(""Abc"") == ""Abc""
flip_even_count_chars(""zzZZN"") == ""ZZzzN""
""""""
","def flip_even_count_chars(s: str) -> str:
    from collections import Counter
    counts = Counter(s)
    return ''.join(c.swapcase() if counts[c] % 2 == 0 else c for c in s)",0.0008014,25.98964844,"def flip_even_count_chars(s: str) -> str:
    swaps = """".join(c for c in set(s) if s.count(c) % 2 == 0)
    return s.translate(str.maketrans(swaps, swaps.swapcase()))",0.0005472,25.98964844,"def flip_even_count_chars(s: str) -> str:
    parity = {}
    for ch in s:
        parity[ch] = 1 - parity.get(ch, 0)
    result = []
    for ch in s:
        if parity[ch] == 0:
            result.append(ch.swapcase())
        else:
            result.append(ch)
    return ''.join(result)
",0.0008884,25.98964844,"['b', 'a', 'c']"
66,"
def cyclic_encode_consecutive(s: str) -> str:
""""""
Given a string `s` consisting of lowercase alphabets, split the string into
groups of consecutive identical characters. Process each group as follows:

- If the group length is odd, replace every character in that group with the
next character in the alphabet (circularly, so 'z' becomes 'a').
- If the group length is even, leave the characters in that group unchanged.

Return the final joined string.

Examples:
cyclic_encode_consecutive(""aaabbb"") == ""bbbccc""
cyclic_encode_consecutive(""xxyyyz"") == ""xxzzza""
cyclic_encode_consecutive(""aabb"") == ""aabb""
cyclic_encode_consecutive(""zz"") == ""zz""
""""""
","def cyclic_encode_consecutive(s: str) -> str:
    if not s:
        return """"
    result = []
    i = 0
    while i < len(s):
        char = s[i]
        count = 1
        while i + count < len(s) and s[i + count] == char:
            count += 1
        if count % 2 == 1:
            next_char = chr((ord(char) - ord('a') + 1) % 26 + ord('a'))
            result.append(next_char * count)
        else:
            result.append(char * count)
        i += count
    return ''.join(result)",0.0006747,25.99121094,"def cyclic_encode_consecutive(s: str) -> str:
    if not s:
        return """"
    parts = []
    group_char = s[0]
    size = 0
    for char in s + ""*"":
        if char == group_char:
            size += 1
        else:
            if size % 2:
                new_char = chr((ord(group_char) - 97 + 1) % 26 + 97)
                parts.append(new_char * size)
            else:
                parts.append(group_char * size)
            group_char = char
            size = 1
    return """".join(parts)",0.0006598,25.99121094,"def cyclic_encode_consecutive(s: str) -> str:
    if not s:
        return """"
    from itertools import groupby
    out = []
    for ch, grp in groupby(s):
        cnt = sum(1 for _ in grp)
        if cnt % 2:
            nxt = chr((ord(ch) - ord('a') + 1) % 26 + ord('a'))
            out.append(nxt * cnt)
        else:
            out.append(ch * cnt)
    return ''.join(out)",0.0007127,25.99121094,"['b', 'a', 'c']"
67,"
from typing import List

def vowel_switch_process(items: List[str]) -> List[str]:
""""""
Given a list of strings, filter and transform them based on specific rules.
1. Discard any string that does not contain at least one vowel (a, e, i, o, u), case-insensitive.
2. For the remaining strings:
- If the string length is even, swap the first half with the second half.
- If the string length is odd, reverse the string.

Return the list of processed strings in their original relative order.

Examples:
vowel_switch_process([""apple"", ""sky"", ""tree""]) == [""elppa"", ""eetr""]
vowel_switch_process([""Banana"", ""rhythm"", ""code""]) == [""anaBan"", ""deco""]
vowel_switch_process([""odd"", ""even""]) == [""ddo"", ""enev""]
vowel_switch_process([""fly"", ""try""]) == []
""""""
pass
","from typing import List

def vowel_switch_process(items: List[str]) -> List[str]:
    vowels = set('aeiouAEIOU')
    result = []
    for s in items:
        if not any(c in vowels for c in s):
            continue
        if len(s) % 2 == 0:
            half = len(s) // 2
            result.append(s[half:] + s[:half])
        else:
            result.append(s[::-1])
    return result",0.0009147,26.60273438,"from typing import List

def vowel_switch_process(items: List[str]) -> List[str]:
    vowels = {'a', 'e', 'i', 'o', 'u'}
    final_list = []
    for word in items:
        if not (vowels & set(word.lower())):
            continue
        n = len(word)
        if n % 2 == 1:
            final_list.append("""".join(reversed(word)))
        else:
            pivot = n // 2
            final_list.append(word[pivot:] + word[:pivot])
    return final_list",0.000924,26.60273438,"def vowel_switch_process(items: List[str]) -> List[str]:
    import re
    res = []
    for w in items:
        if not re.search(r'[aeiouAEIOU]', w):
            continue
        n = len(w)
        if n % 2 == 0:
            mid = n // 2
            res.append(w[mid:] + w[:mid])
        else:
            res.append(w[::-1])
    return res",0,0,"['a', 'b', 'c']"
68,"
def interleave_and_sum_tail(l1: list, l2: list) -> list:
""""""
Interleave elements from two integer lists l1 and l2, alternating between them starting with l1.
When the shorter list is exhausted, sum all remaining elements of the longer list and append
this sum as the final element of the result. If both lists are of equal length, just interleave
them without appending a sum.

Examples:
interleave_and_sum_tail([1, 2, 3], [4, 5]) == [1, 4, 2, 5, 3]
interleave_and_sum_tail([1, 2], [3, 4, 5, 6]) == [1, 3, 2, 4, 11]
interleave_and_sum_tail([10, 20], [1, 2]) == [10, 1, 20, 2]
interleave_and_sum_tail([], [5, 10, 2]) == [17]
""""""
pass
","def interleave_and_sum_tail(l1: list, l2: list) -> list:
    result = []
    min_len = min(len(l1), len(l2))
    for i in range(min_len):
        result.append(l1[i])
        result.append(l2[i])
    if len(l1) > min_len:
        result.append(sum(l1[min_len:]))
    elif len(l2) > min_len:
        result.append(sum(l2[min_len:]))
    return result",0.0008782,26.79121094,"def interleave_and_sum_tail(l1: list, l2: list) -> list:
    result = []
    for x, y in zip(l1, l2):
        result.extend([x, y])
    tail = l1[len(l2):] + l2[len(l1):]
    if tail:
        result.append(sum(tail))
    return result",0.0017415,26.79121094,"def interleave_and_sum_tail(l1: list, l2: list) -> list:
    n1, n2 = len(l1), len(l2)
    suff1 = [0] * (n1 + 1)
    for i in range(n1 - 1, -1, -1):
        suff1[i] = suff1[i + 1] + l1[i]
    suff2 = [0] * (n2 + 1)
    for j in range(n2 - 1, -1, -1):
        suff2[j] = suff2[j + 1] + l2[j]
    def rec(i, j):
        if i == n1 and j == n2:
            return []
        if i == n1:
            return [suff2[j]]
        if j == n2:
            return [suff1[i]]
        return [l1[i], l2[j]] + rec(i + 1, j + 1)
    return rec(0, 0)",0.0010305,26.79121094,"['a', 'c', 'b']"
69,"
def cyclic_mixed_parity_diff(numbers: list[int]) -> int:
""""""
Given a list of integers, calculate the sum of absolute differences between adjacent elements
(considering the list as circular), but only sum the difference if the pair consists of
one even and one odd number.

The last element is considered adjacent to the first element.
If the list has fewer than 2 elements, return 0.

>>> cyclic_mixed_parity_diff([1, 2, 4, 6])
6
>>> cyclic_mixed_parity_diff([10, 5])
10
>>> cyclic_mixed_parity_diff([2, 4, 6])
0
>>> cyclic_mixed_parity_diff([1, 2, 3])
2
""""""
","def cyclic_mixed_parity_diff(numbers: list[int]) -> int:
    if len(numbers) < 2:
        return 0
    total = 0
    for i in range(len(numbers)):
        a = numbers[i]
        b = numbers[(i + 1) % len(numbers)]
        if a % 2 != b % 2:
            total += abs(a - b)
    return total",0.0008782,26.48398438,"def cyclic_mixed_parity_diff(numbers: list[int]) -> int:
    if len(numbers) < 2:
        return 0
    total = 0
    prev = numbers[-1]
    for curr in numbers:
        if (prev + curr) % 2 == 1:
            total += abs(prev - curr)
        prev = curr
    return total",0.0008731,26.48398438,"def cyclic_mixed_parity_diff(numbers: list[int]) -> int:
    if len(numbers) < 2:
        return 0
    adj = zip(numbers, numbers[1:] + numbers[:1])
    return sum(abs(a - b) for a, b in adj if (a ^ b) & 1)",0.0008047,26.48398438,"['c', 'b', 'a']"
70,"
from typing import List

def is_valid_sequence(words: List[str]) -> bool:
""""""
Determine if a sequence of words is valid based on specific adjacency rules.
A sequence is considered valid if for every consecutive pair of words (words[i], words[i+1]),
EITHER the last character of words[i] matches the first character of words[i+1],
OR the two words have the same length.

If the list is empty or contains only one word, it is considered valid.
All words in the list are guaranteed to be non-empty strings.

Examples:
is_valid_sequence([""apple"", ""eagle"", ""event""]) == True
is_valid_sequence([""cat"", ""dog"", ""bird""]) == False
is_valid_sequence([""code"", ""editor"", ""read""]) == True
is_valid_sequence([""ball"", ""call"", ""lead""]) == True
""""""
if len(words) < 2:
return True

for i in range(len(words) - 1):
curr_word = words[i]
next_word = words[i+1]

match_char = curr_word[-1] == next_word[0]
match_len = len(curr_word) == len(next_word)

if not (match_char or match_len):
return False

return True
","from typing import List

def is_valid_sequence(words: List[str]) -> bool:
    if len(words) < 2:
        return True
    for i in range(len(words) - 1):
        curr_word = words[i]
        next_word = words[i+1]
        match_char = curr_word[-1] == next_word[0]
        match_len = len(curr_word) == len(next_word)
        if not (match_char or match_len):
            return False
    return True",0.000753,26.47382813,"from typing import List

def is_valid_sequence(words: List[str]) -> bool:
    for left, right in zip(words, words[1:]):
        if left[-1] != right[0] and len(left) != len(right):
            return False
    return True",0.0005216,26.47382813,"def is_valid_sequence(words):
    if len(words) < 2:
        return True
    i = 0
    while i < len(words) - 1:
        a = words[i]
        b = words[i+1]
        if not (a[-1] == b[0] or len(a) == len(b)):
            return False
        i += 1
    return True",0.0004341,26.47382813,"['c', 'b', 'a']"
71,"
def shift_by_digits(s: str) -> str:
""""""
Calculate the sum of all numerical digits found in the input string s.
- If the sum is greater than 0, return the string s circularly shifted to the right by that sum.
- If the sum is 0 or no digits are present, return the reversed string s.

>>> shift_by_digits(""abc12"")
'c12ab'
>>> shift_by_digits(""hello"")
'olleh'
>>> shift_by_digits(""a1b2c"")
'b2ca1'
>>> shift_by_digits(""no7digits0here"")
'ereno7digits0h'
""""""
","def shift_by_digits(s: str) -> str:
    digit_sum = sum(int(c) for c in s if c.isdigit())
    if digit_sum == 0:
        return s[::-1]
    shift = digit_sum % len(s) if s else 0
    return s[-shift:] + s[:-shift] if s else s",0.000386,26,"def shift_by_digits(s: str) -> str:
    if not s:
        return s
    total = 0
    for c in s:
        if '0' <= c <= '9':
            total += int(c)
    if total == 0:
        res = """"
        for char in s:
            res = char + res
        return res
    n = len(s)
    shift = total % n
    chars = []
    for i in range(n):
        chars.append(s[i - shift])
    return """".join(chars)",0.0003706,26,"from collections import deque

def shift_by_digits(s: str) -> str:
    if not s:
        return s
    total = 0
    for ch in s:
        if ch.isdigit():
            total += ord(ch) - 48
    if total == 0:
        return s[::-1]
    d = deque(s)
    d.rotate(total % len(s))
    return ''.join(d)
",0.000456,26,"['b', 'a', 'c']"
72,"
from typing import List

def count_shared_digit_pairs(nums: List[int]) -> int:
""""""
Given a list of integers, count the number of adjacent pairs (nums[i], nums[i+1])
that share at least one common digit.

Negative numbers should be treated as positive (ignore the '-' sign).

Examples:
count_shared_digit_pairs([12, 23, 34, 45]) == 3
count_shared_digit_pairs([10, 20, 30]) == 2
count_shared_digit_pairs([-15, 57, 77]) == 2 # (15, 57) share '5', (57, 77) share '7'
count_shared_digit_pairs([1, 2, 3]) == 0
""""""
pass
","from typing import List

def count_shared_digit_pairs(nums: List[int]) -> int:
    count = 0
    for i in range(len(nums) - 1):
        digits1 = set(str(abs(nums[i])))
        digits2 = set(str(abs(nums[i+1])))
        if digits1 & digits2:
            count += 1
    return count",0.0005822,26.68632813,"from typing import List

def count_shared_digit_pairs(nums: List[int]) -> int:
    count = 0
    for n1, n2 in zip(nums, nums[1:]):
        s1, s2 = str(abs(n1)), str(abs(n2))
        found = False
        for digit in ""0123456789"":
            if digit in s1 and digit in s2:
                found = True
                break
        if found:
            count += 1
    return count",0.0005325,26.68632813,"def count_shared_digit_pairs(nums: List[int]) -> int:
    if len(nums) < 2:
        return 0
    masks = []
    for n in nums:
        x = abs(n)
        m = 0
        if x == 0:
            m |= 1
        while x:
            d = x % 10
            m |= 1 << d
            x //= 10
        masks.append(m)
    count = 0
    for i in range(len(masks) - 1):
        if masks[i] & masks[i + 1]:
            count += 1
    return count",0,0,"['b', 'a', 'c']"
73,"
def transform_words(sentence: str) -> str:
""""""
Given a sentence string where words are separated by spaces, apply the following
transformations to each word based on its length and return the new sentence:

- If the word length is even, swap the first and last characters.
- If the word length is odd, reverse the entire word.

Note: Treat punctuation as part of the word. Words are case-sensitive.

Examples:
transform_words(""Hello World"") == ""olleH dlorW""
transform_words(""data structures"") == ""aatd serutcurts""
transform_words(""odd even"") == ""ddo nvee""
transform_words(""a ab abc abcd"") == ""a ba cba dbca""
""""""
","def transform_words(sentence: str) -> str:
    words = sentence.split(' ')
    result = []
    for word in words:
        if len(word) % 2 == 0:
            result.append(word[-1] + word[1:-1] + word[0] if len(word) > 1 else word)
        else:
            result.append(word[::-1])
    return ' '.join(result)",0.0003873,26.01464844,"def transform_words(sentence: str) -> str:
    words = sentence.split(' ')
    new_words = []
    for w in words:
        if len(w) % 2 == 1:
            new_words.append("""".join(reversed(w)))
        elif len(w) > 1:
            chars = list(w)
            chars[0], chars[-1] = chars[-1], chars[0]
            new_words.append("""".join(chars))
        else:
            new_words.append(w)
    return "" "".join(new_words)",0.0004385,26.01464844,"def transform_words(sentence: str) -> str:
    def proc(w: str) -> str:
        n = len(w)
        if n % 2 == 0:
            if n <= 1:
                return w
            chars = []
            for i, ch in enumerate(w):
                if i == 0:
                    chars.append(w[-1])
                elif i == n - 1:
                    chars.append(w[0])
                else:
                    chars.append(ch)
            return ''.join(chars)
        else:
            return ''.join(reversed(w))

    return ' '.join(map(proc, sentence.split(' ')))",0.000397,26.01464844,"['a', 'c', 'b']"
74,"
from typing import List

def running_diff_max_min(numbers: List[int]) -> List[int]:
""""""
Given a list of integers, return a new list where the element at index i
is the difference between the maximum and minimum values in the sub-list
from index 0 to i (inclusive).

The input list can contain positive and negative integers.
If the input list is empty, return an empty list.

Examples:
running_diff_max_min([1, 2, 3, 4]) == [0, 1, 2, 3]
running_diff_max_min([10, 5, 20, 3]) == [0, 5, 15, 17]
running_diff_max_min([-5, -1, -10]) == [0, 4, 9]
""""""
","from typing import List

def running_diff_max_min(numbers: List[int]) -> List[int]:
    if not numbers:
        return []
    result = []
    current_max = numbers[0]
    current_min = numbers[0]
    for n in numbers:
        current_max = max(current_max, n)
        current_min = min(current_min, n)
        result.append(current_max - current_min)
    return result",0.0005033,26.35351563,"from typing import List
from itertools import accumulate

def running_diff_max_min(numbers: List[int]) -> List[int]:
    high = accumulate(numbers, max)
    low = accumulate(numbers, min)
    return [h - l for h, l in zip(high, low)]",0.0012176,26.35351563,"def running_diff_max_min(numbers):
    result = []
    for i in range(len(numbers)):
        sub = numbers[:i+1]
        result.append(max(sub) - min(sub))
    return result",0.0007723,26.35351563,"['a', 'c', 'b']"
75,"
from typing import List

def count_local_peaks(numbers: List[int]) -> int:
""""""
Count the number of elements in the list that are strictly greater than their
immediate neighbors. For the first and last elements, they only need to be
greater than their single neighbor.

Return 0 if the list contains fewer than 2 elements.

>>> count_local_peaks([1, 3, 2, 3, 1])
2
>>> count_local_peaks([5, 1, 5])
2
>>> count_local_peaks([1, 2, 3, 4, 5])
1
>>> count_local_peaks([1])
0
""""""
","from typing import List

def count_local_peaks(numbers: List[int]) -> int:
    if len(numbers) < 2:
        return 0
    count = 0
    for i in range(len(numbers)):
        if i == 0:
            if numbers[i] > numbers[i+1]:
                count += 1
        elif i == len(numbers) - 1:
            if numbers[i] > numbers[i-1]:
                count += 1
        else:
            if numbers[i] > numbers[i-1] and numbers[i] > numbers[i+1]:
                count += 1
    return count",0.0004803,26.43378906,"from typing import List

def count_local_peaks(numbers: List[int]) -> int:
    if len(numbers) < 2:
        return 0
    
    extended = [float('-inf')] + numbers + [float('-inf')]
    total_peaks = 0
    
    for i in range(1, len(extended) - 1):
        if extended[i] > extended[i - 1] and extended[i] > extended[i + 1]:
            total_peaks += 1
            
    return total_peaks",0.0006335,26.43378906,"def count_local_peaks(numbers):
    n = len(numbers)
    if n < 2:
        return 0
    diffs = [numbers[i+1] - numbers[i] for i in range(n-1)]
    count = 0
    if diffs[0] < 0:
        count += 1
    if diffs[-1] > 0:
        count += 1
    for i in range(1, n-1):
        if diffs[i-1] > 0 and diffs[i] < 0:
            count += 1
    return count",0.0005752,26.43378906,"['a', 'c', 'b']"
76,"
def circular_parity_sum(arr: list[int]) -> int:
""""""
Given a list of integers, return the sum of all elements that have the same parity
(both even or both odd) as the element immediately preceding them.
The list is treated as circular, meaning the first element's preceding neighbor
is the last element of the list.

If the list is empty, return 0.

Examples:
circular_parity_sum([1, 3, 2, 4]) == 7
circular_parity_sum([2, 4, 6, 8]) == 20
circular_parity_sum([1, 2, 3]) == 0
circular_parity_sum([5]) == 5
""""""
","def circular_parity_sum(arr: list[int]) -> int:
    if not arr:
        return 0
    if len(arr) == 1:
        return arr[0]
    total = 0
    for i in range(len(arr)):
        prev = arr[(i - 1) % len(arr)]
        if arr[i] % 2 == prev % 2:
            total += arr[i]
    return total",0.0004147,26.32070313,"def circular_parity_sum(arr: list[int]) -> int:
    if not arr:
        return 0
    total = 0
    last_parity = arr[-1] % 2
    for x in arr:
        parity = x % 2
        if parity == last_parity:
            total += x
        last_parity = parity
    return total",0.0004365,26.32070313,"def circular_parity_sum(arr: list[int]) -> int:
    if not arr:
        return 0
    rotated = arr[-1:] + arr[:-1]
    total = 0
    for prev, curr in zip(rotated, arr):
        if (prev & 1) == (curr & 1):
            total += curr
    return total
",0.0004161,26.32070313,"['a', 'c', 'b']"
77,"
def select_words(s: str, n: int):
""""""
Given a string s consisting of words separated by spaces, return a list of words
that satisfy the following two conditions:
1. The length of the word is exactly n.
2. The number of consonants in the word is strictly greater than the number of vowels.

Vowels are 'a', 'e', 'i', 'o', 'u' (case insensitive).
Consonants are all other alphabetic characters.
The output list should retain the order of words from the input.

Examples:
select_words(""Mary had a little lamb"", 4) ==> [""Mary"", ""lamb""]
select_words(""Good work"", 4) ==> [""work""]
select_words(""Hello world"", 5) ==> [""Hello"", ""world""]
select_words(""aeiou"", 5) ==> []
""""""
","def select_words(s: str, n: int):
    vowels = set('aeiouAEIOU')
    result = []
    for word in s.split():
        if len(word) == n:
            consonants = sum(1 for c in word if c.isalpha() and c not in vowels)
            word_vowels = sum(1 for c in word if c in vowels)
            if consonants > word_vowels:
                result.append(word)
    return result",0.0005847,26.09121094,"def select_words(s: str, n: int):
    result = []
    for word in s.split():
        if len(word) == n:
            alphas = """".join(c.lower() for c in word if c.isalpha())
            consonants = alphas
            for v in ""aeiou"":
                consonants = consonants.replace(v, """")
            
            if len(consonants) > len(alphas) - len(consonants):
                result.append(word)
    return result",0.0006516,26.09121094,"def select_words(s: str, n: int):
    import re
    res = []
    for word in s.split():
        if len(word) == n:
            letters = re.sub('[^A-Za-z]', '', word)
            if not letters:
                continue
            vowels_in_letters = sum(1 for ch in letters if ch in 'aeiouAEIOU')
            consonants = len(letters) - vowels_in_letters
            if consonants > vowels_in_letters:
                res.append(word)
    return res",0.0012358,26.09121094,"['a', 'b', 'c']"
